root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
21:41:20.437449 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 1877274793:1877274901, ack 2209524252, win 501, length 108
21:41:20.437515 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 108:144, ack 1, win 501, length 36
21:41:20.437527 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 144:252, ack 1, win 501, length 108
21:41:20.437561 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 252:288, ack 1, win 501, length 36
21:41:20.443958 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 288:476, ack 1, win 501, length 188
21:41:20.444003 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 476:512, ack 1, win 501, length 36
21:41:20.444048 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 512:676, ack 1, win 501, length 164
21:41:20.444078 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 676:712, ack 1, win 501, length 36
21:41:20.444113 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 712:876, ack 1, win 501, length 164
21:41:20.466026 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 288, win 8243, length 0
21:41:20.466090 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 876:2112, ack 1, win 501, length 1236
21:41:20.466235 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2112:2268, ack 1, win 501, length 156
21:41:20.466271 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2268:2304, ack 1, win 501, length 36
21:41:20.466310 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2304:2476, ack 1, win 501, length 172
21:41:20.466338 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2476:2512, ack 1, win 501, length 36
21:41:20.466372 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2512:2684, ack 1, win 501, length 172
21:41:20.466400 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2684:2720, ack 1, win 501, length 36
21:41:20.466432 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2720:2892, ack 1, win 501, length 172
21:41:20.466457 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2892:2928, ack 1, win 501, length 36
21:41:20.466507 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 2928:3100, ack 1, win 501, length 172
21:41:20.471203 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 476, win 8242, length 0
21:41:20.471203 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 876, win 8241, length 0
21:41:20.471265 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 3100:4384, ack 1, win 501, length 1284
21:41:20.471406 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4384:4540, ack 1, win 501, length 156
21:41:20.471459 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4540:4576, ack 1, win 501, length 36
21:41:20.471496 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4576:4732, ack 1, win 501, length 156
21:41:20.471538 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4732:4768, ack 1, win 501, length 36
21:41:20.471555 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4768:4940, ack 1, win 501, length 172
21:41:20.471589 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4940:4976, ack 1, win 501, length 36
21:41:20.471625 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 4976:5148, ack 1, win 501, length 172
21:41:20.471650 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 5148:5184, ack 1, win 501, length 36
21:41:20.471682 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 5184:5356, ack 1, win 501, length 172
21:41:20.493332 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3100, win 8246, length 0
21:41:20.493397 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 5356:6848, ack 1, win 501, length 1492
21:41:20.493532 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 6848:7004, ack 1, win 501, length 156
21:41:20.493569 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7004:7040, ack 1, win 501, length 36
21:41:20.493608 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7040:7212, ack 1, win 501, length 172
21:41:20.493635 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7212:7248, ack 1, win 501, length 36
21:41:20.493669 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7248:7420, ack 1, win 501, length 172
21:41:20.493697 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7420:7456, ack 1, win 501, length 36
21:41:20.493730 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7456:7628, ack 1, win 501, length 172
21:41:20.493757 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7628:7664, ack 1, win 501, length 36
21:41:20.493789 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7664:7836, ack 1, win 501, length 172
21:41:20.493818 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7836:7872, ack 1, win 501, length 36
21:41:20.493868 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 7872:8044, ack 1, win 501, length 172
21:41:20.493913 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 8044:8252, ack 1, win 501, length 208
21:41:20.493947 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 8252:8288, ack 1, win 501, length 36
21:41:20.493981 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 8288:8460, ack 1, win 501, length 172
21:41:20.494009 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 8460:8496, ack 1, win 501, length 36
21:41:20.494043 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 8496:8668, ack 1, win 501, length 172
21:41:20.494070 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 8668:8704, ack 1, win 501, length 36
