
21:40:07.126543 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 199448:199628, ack 109, win 501, length 180
21:40:07.126580 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 199628:199808, ack 109, win 501, length 180
21:40:07.126632 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 199808:199988, ack 109, win 501, length 180
21:40:07.126672 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 199988:200168, ack 109, win 501, length 180
21:40:07.126708 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 200168:200348, ack 109, win 501, length 180
21:40:07.126745 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 200348:200528, ack 109, win 501, length 180
21:40:07.126782 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 200528:200708, ack 109, win 501, length 180
21:40:07.126817 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 200708:200888, ack 109, win 501, length 180
21:40:07.126852 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 200888:201068, ack 109, win 501, length 180
21:40:07.126889 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 201068:201248, ack 109, win 501, length 180
21:40:07.126925 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 201248:201428, ack 109, win 501, length 180
21:40:07.126961 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 201428:201608, ack 109, win 501, length 180
21:40:07.126997 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 201608:201788, ack 109, win 501, length 180
21:40:07.127027 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 169792, win 8246, length 0
21:40:07.127063 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 201788:202088, ack 109, win 501, length 300
21:40:07.127106 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 202088:202268, ack 109, win 501, length 180
21:40:07.127145 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 202268:202448, ack 109, win 501, length 180
21:40:07.127182 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 202448:202628, ack 109, win 501, length 180
21:40:07.127218 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 202628:202808, ack 109, win 501, length 180
21:40:07.127257 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 202808:202988, ack 109, win 501, length 180
21:40:07.127300 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 202988:203168, ack 109, win 501, length 180
21:40:07.127355 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 203168:203348, ack 109, win 501, length 180
21:40:07.127403 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 203348:203528, ack 109, win 501, length 180
21:40:07.127447 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 203528:203708, ack 109, win 501, length 180
21:40:07.127496 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 203708:203888, ack 109, win 501, length 180
21:40:07.127544 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 203888:204068, ack 109, win 501, length 180
21:40:07.127584 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 204068:204248, ack 109, win 501, length 180
21:40:07.127620 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 204248:204428, ack 109, win 501, length 180
21:40:07.127657 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 204428:204608, ack 109, win 501, length 180
21:40:07.130459 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 170752, win 8242, length 0
21:40:07.130502 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 204608:204788, ack 109, win 501, length 180
21:40:07.130650 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 170932, win 8242, length 0
21:40:07.130679 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 204788:205088, ack 109, win 501, length 300
21:40:07.130721 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 205088:205388, ack 109, win 501, length 300
21:40:07.130760 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 205388:205568, ack 109, win 501, length 180
21:40:07.130798 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 205568:205748, ack 109, win 501, length 180
21:40:07.132107 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 177548, win 8246, length 0
21:40:07.132162 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 205748:205928, ack 109, win 501, length 180
21:40:07.132304 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 205928:206228, ack 109, win 501, length 300
21:40:07.132366 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 206228:206408, ack 109, win 501, length 180
21:40:07.132435 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 206408:206588, ack 109, win 501, length 180
21:40:07.132490 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 206588:206768, ack 109, win 501, length 180
21:40:07.132545 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 206768:206948, ack 109, win 501, length 180
21:40:07.132645 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 206948:207128, ack 109, win 501, length 180
21:40:07.132718 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 207128:207308, ack 109, win 501, length 180
21:40:07.132776 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 207308:207488, ack 109, win 501, length 180
21:40:07.132833 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 207488:207668, ack 109, win 501, length 180
21:40:07.132889 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 207668:207848, ack 109, win 501, length 180
21:40:07.132943 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 207848:208028, ack 109, win 501, length 180
21:40:07.133012 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 180548, win 8246, length 0
21:40:07.133034 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 208028:208208, ack 109, win 501, length 180
21:40:07.133108 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 208208:208508, ack 109, win 501, length 300
21:40:07.133165 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 208508:208688, ack 109, win 501, length 180
21:40:07.133204 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 183428, win 8246, length 0
21:40:07.133263 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 208688:208988, ack 109, win 501, length 300
21:40:07.133324 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 208988:209168, ack 109, win 501, length 180
21:40:07.133377 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 209168:209348, ack 109, win 501, length 180
21:40:07.133433 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 209348:209528, ack 109, win 501, length 180
21:40:07.133511 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 209528:209708, ack 109, win 501, length 180
21:40:07.133574 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 209708:209888, ack 109, win 501, length 180
21:40:07.133644 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 209888:210068, ack 109, win 501, length 180
21:40:07.133705 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 210068:210248, ack 109, win 501, length 180
21:40:07.133762 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 210248:210428, ack 109, win 501, length 180
21:40:07.133815 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 210428:210608, ack 109, win 501, length 180
21:40:07.133872 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 210608:210788, ack 109, win 501, length 180
21:40:07.133927 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 210788:210968, ack 109, win 501, length 180
21:40:07.133988 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 210968:211148, ack 109, win 501, length 180
21:40:07.134042 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 211148:211328, ack 109, win 501, length 180
21:40:07.134097 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 211328:211508, ack 109, win 501, length 180
21:40:07.134152 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 211508:211688, ack 109, win 501, length 180
21:40:07.134205 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 211688:211868, ack 109, win 501, length 180
21:40:07.134263 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 211868:212048, ack 109, win 501, length 180
21:40:07.134425 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 212048:212228, ack 109, win 501, length 180
21:40:07.134482 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 212228:212408, ack 109, win 501, length 180
21:40:07.134540 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 212408:212588, ack 109, win 501, length 180
21:40:07.134611 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 212588:212768, ack 109, win 501, length 180
21:40:07.134667 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 212768:212948, ack 109, win 501, length 180
21:40:07.134722 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 212948:213128, ack 109, win 501, length 180
21:40:07.134778 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 213128:213308, ack 109, win 501, length 180
21:40:07.134834 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 213308:213488, ack 109, win 501, length 180
21:40:07.134891 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 213488:213668, ack 109, win 501, length 180
21:40:07.134947 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 213668:213848, ack 109, win 501, length 180
21:40:07.135003 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 213848:214028, ack 109, win 501, length 180
21:40:07.135059 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 214028:214208, ack 109, win 501, length 180
21:40:07.135131 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 214208:214388, ack 109, win 501, length 180
21:40:07.135194 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 214388:214568, ack 109, win 501, length 180
21:40:07.135323 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 214568:214748, ack 109, win 501, length 180
21:40:07.135367 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 214748:214928, ack 109, win 501, length 180
21:40:07.135406 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 214928:215108, ack 109, win 501, length 180
21:40:07.135496 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 215108:215288, ack 109, win 501, length 180
21:40:07.135567 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 215288:215468, ack 109, win 501, length 180
21:40:07.135698 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 215468:215648, ack 109, win 501, length 180
